Tag,All Materials,Formula,Density
89,Actinium,AC,10.07
101,Albite,Na:1:Al:1:Si:3:O:8,2.62
102,Alumina,Al:2:O:3,3.7
13,Aluminum,AL,2.7
103,Anatase,Ti:1:O:2,3.9
104,Ankerite,Fe:1:Ca:1:C:2:O:6,3
105,Anorthite,Ca:1:Si:2:Al:2:O:8,2.76
106,Anthracite,C:1,1.5
51,Antimony,SB,6.697
107,Apatite,Ca:5:P:3:O:12:Cl:0.33:F:0.33:O:0.33:H:0.33,3.2
108,Aragonite,Ca:1:C:1:O:3,2.95
18,Argon,AR,0.0018
33,Arsenic,AS,5.727
109,Barite,Ba:1:S:1:O:4,4.5
56,Barium,BA,3.51
97,Berkelium,BK,14.78
4,Beryllium,BE,1.848
83,Bismuth,BI,9.78
5,Boron,B,2.46
35,Bromine,BR,3.12
110,Bromodecane,Br:1:C:10:H:21,1.07
48,Cadmium,CD,8.65
111,Calcite,Ca:1:C:1:O:3,2.71
20,Calcium,CA,1.55
98,Californium,CF,15.1
6,Carbon,C,2.26
58,Cerium,CE,6.689
55,Cesium,CS,1.879
17,Chlorine,CL,0.0032
112,Chlorite,Fe:2:Mg:2:Al:4:Si:2:O:18:H:8,3
24,Chromium,CR,7.14
27,Cobalt,CO,8.9
29,Copper,CU,8.92
113,CsI,Cs:1:I:1,4.51
96,Curium,CM,13.51
114,decane,C:10:H:22,0.73
115,di-iododecane,I:2:C:10:H:20,2.254
116,Dolomite,Ca:1:Mg:1:C:3:O:6,2.87
66,Dysprosium,DY,8.551
68,Erbium,ER,9.066
63,Europium,EU,5.244
9,Fluorine,F,0.0017
64,Gadolinium,GD,7.901
117,Galena,Pb:1:S:1,7.58
31,Gallium,GA,5.904
32,Germanium,GE,5.323
79,Gold,AU,19.3
72,Hafnium,HF,13.31
2,Helium,HE,0.0002
118,Hematite,Fe:1:O:1,5.26
67,Holmium,HO,8.795
1,Hydrogen,H,0.0001
119,Illite,K:1.5:Al:5.5:Si:6.5:O:24:H:4,2.8
49,Indium,IN,7.31
53,Iodine,I,4.94
120,iododecane,I:1:C:10:H:21,1.254
77,Iridium,IR,22.56
26,Iron,FE,7.874
121,Kaolinite,Al:2:Si:2:O:9:H:4,2.6
122,KBr,K:1:Br:1,2.75
123,KCl,K:1:Cl:1,1.984
124,K-feldspar,K:1:Al:1:Si:3:O:8,2.56
125,KI,K:1:I:1,3.13
36,Krypton,KR,0.0037
57,Lanthanum,LA,6.146
82,Lead,PB,11.34
3,Lithium,LI,0.535
126,Lithium,Li:1,0.534
71,Lutetium,LU,9.841
12,Magnesium,MG,1.738
127,MagnesiumCarbonate,Mg:1:C:1:O:3,2.958
128,MagnesiumOxide,Mg:1:O:1,3.58
25,Manganese,MN,7.47
80,Mercury,HG,13.534
42,Molybdenum,MO,10.28
129,Muscovite,K:1:Al:3:Si:3:O:12:H:2,2.8
130,NaBr,Na:1:Br:1,3.203
131,NaCl,Na:1:Cl:1,2.165
132,NaI,Na:1:I:1,3.667
60,Neodymium,ND,7.01
10,Neon,NE,0.0009
93,Neptunium,NP,20.45
28,Nickel,NI,8.908
41,Niobium,NB,8.57
7,Nitrogen,N,0.0013
76,Osmium,OS,22.59
8,Oxygen,O,0.0014
46,Palladium,PD,12.023
133,PE,C:1:H:2,0.95
134,PEEK,C:19:O:3:H:12,1.3
15,Phosphorus,P,1.823
78,Platinum,PT,21.09
94,Plutonium,PU,19.816
84,Polonium,PO,9.196
19,Potassium,K,0.856
135,PotassiumCarbonate,K:2:C:1:O:3,2.428
136,PotassiumMonoxide,K:2:O:1,2.32
59,Praseodymium,PR,6.64
61,Promethium,PM,7.264
91,Protactinium,PA,15.37
137,Pyrite,Fe:1:S:2,4.93
138,Quartz,Si:1:O:2,2.65
88,Radium,RA,5
86,Radon,RN,0.0097
75,Rhenium,RE,21.02
45,Rhodium,RH,12.45
37,Rubidium,RB,1.532
44,Ruthenuim,RU,12.37
62,Samarium,SM,7.353
21,Scandium,SC,2.985
34,Selenium,SE,4.819
139,Siderite,Fe:1:C:1:O:3,3.96
14,Silicon,SI,2.33
47,Silver,AG,10.49
11,Sodium,NA,0.968
140,SS,Fe:1:Cr:1,7.53
38,Strontium,SR,2.63
16,Sulfur,S,1.96
141,Talc,Mg:3:Si:4:O:12:H:2,2.75
73,Tantalum,TA,16.65
43,Technetium,TC,11.5
52,Telurium,TE,6.24
65,Terbium,TB,8.219
81,Thallium,TL,11.85
90,Thorium,TH,11.724
69,Thulium,TM,9.321
50,Tin,SN,7.31
22,Titanium,TI,4.507
74,Tungsten,W,19.25
92,Uranium,U,19.05
23,Vanadium,V,6.11
142,Water,H:2:O:1,1
54,Xenon,XE,0.0059
70,Ytterbium,YB,6.57
39,Yttrium,Y,4.472
30,Zinc,ZN,7.14
40,Zirconium,ZR,6.511
