Tag,Name,X:1:Y:1 Formula,gm/cc
0,EmptySpace,H,0
1,Hydrogen,H,1.00E-04
2,Helium,HE,2.00E-04
3,Lithium,LI,0.535
4,Beryllium,BE,1.848
5,Boron,B,2.46
6,Carbon,C,2.26
7,Nitrogen,N,0.0013
8,Oxygen,O,0.0014
9,Fluorine,F,0.0017
10,Neon,NE,9.00E-04
11,Sodium,NA,0.968
12,Magnesium,MG,1.738
13,Aluminum,AL,2.7
14,Silicon,SI,2.33
15,Phosphorus,P,1.823
16,Sulfur,S,1.96
17,Chlorine,CL,0.0032
18,Argon,AR,0.0018
19,Potassium,K,0.856
20,Calcium,CA,1.55
21,Scandium,SC,2.985
22,Titanium,TI,4.507
23,Vanadium,V,6.11
24,Chromium,CR,7.14
25,Manganese,MN,7.47
26,Iron,FE,7.874
27,Cobalt,CO,8.9
28,Nickel,NI,8.908
29,Copper,CU,8.92
30,Zinc,ZN,7.14
31,Gallium,GA,5.904
32,Germanium,GE,5.323
33,Arsenic,AS,5.727
34,Selenium,SE,4.819
35,Bromine,BR,3.12
36,Krypton,KR,0.0037
37,Rubidium,RB,1.532
38,Strontium,SR,2.63
39,Yttrium,Y,4.472
40,Zirconium,ZR,6.511
41,Niobium,NB,8.57
42,Molybdenum,MO,10.28
43,Technetium,TC,11.5
44,Ruthenuim,RU,12.37
45,Rhodium,RH,12.45
46,Palladium,PD,12.023
47,Silver,AG,10.49
48,Cadmium,CD,8.65
49,Indium,IN,7.31
50,Tin,SN,7.31
51,Antimony,SB,6.697
52,Telurium,TE,6.24
53,Iodine,I,4.94
54,Xenon,XE,0.0059
55,Cesium,CS,1.879
56,Barium,BA,3.51
57,Lanthanum,LA,6.146
58,Cerium,CE,6.689
59,Praseodymium,PR,6.64
60,Neodymium,ND,7.01
61,Promethium,PM,7.264
62,Samarium,SM,7.353
63,Europium,EU,5.244
64,Gadolinium,GD,7.901
65,Terbium,TB,8.219
66,Dysprosium,DY,8.551
67,Holmium,HO,8.795
68,Erbium,ER,9.066
69,Thulium,TM,9.321
70,Ytterbium,YB,6.57
71,Lutetium,LU,9.841
72,Hafnium,HF,13.31
73,Tantalum,TA,16.65
74,Tungsten,W,19.25
75,Rhenium,RE,21.02
76,Osmium,OS,22.59
77,Iridium,IR,22.56
78,Platinum,PT,21.09
79,Gold,AU,19.3
80,Mercury,HG,13.534
81,Thallium,TL,11.85
82,Lead,PB,11.34
83,Bismuth,BI,9.78
84,Polonium,PO,9.196
86,Radon,RN,0.0097
88,Radium,RA,5
89,Actinium,AC,10.07
90,Thorium,TH,11.724
91,Protactinium,PA,15.37
92,Uranium,U,19.05
93,Neptunium,NP,20.45
94,Plutonium,PU,19.816
96,Curium,CM,13.51
97,Berkelium,BK,14.78
98,Californium,CF,15.1
101,Albite,Na:1:Al:1:Si:3:O:8,2.62
102,Alumina,Al:2:O:3,3.7
103,Anatase,Ti:1:O:2,3.9
104,Ankerite,Fe:1:Ca:1:C:2:O:6,3
105,Anorthite,Ca:1:Si:2:Al:2:O:8,2.76
106,Anthracite,C:1,1.5
107,Apatite,Ca:5:P:3:O:12:Cl:0.33:F:0.33:O:0.33:H:0.33,3.2
108,Aragonite,Ca:1:C:1:O:3,2.95
109,Barite,Ba:1:S:1:O:4,4.5
110,Bromodecane,Br:1:C:10:H:21,1.07
111,Calcite,Ca:1:C:1:O:3,2.71
112,Chlorite,Fe:2:Mg:2:Al:4:Si:2:O:18:H:8,3
113,CsI,Cs:1:I:1,4.51
114,decane,C:10:H:22,0.73
115,di-iododecane,I:2:C:10:H:20,2.254
116,Dolomite,Ca:1:Mg:1:C:3:O:6,2.87
117,Galena,Pb:1:S:1,7.58
118,Hematite,Fe:1:O:1,5.26
119,Illite,K:1.5:Al:5.5:Si:6.5:O:24:H:4,2.8
120,iododecane,I:1:C:10:H:21,1.254
121,Kaolinite,Al:2:Si:2:O:9:H:4,2.6
122,KBr,K:1:Br:1,2.75
123,KCl,K:1:Cl:1,1.984
124,K-feldspar,K:1:Al:1:Si:3:O:8,2.56
125,KI,K:1:I:1,3.13
126,Lithium,Li:1,0.534
127,MagnesiumCarbonate,Mg:1:C:1:O:3,2.958
128,MagnesiumOxide,Mg:1:O:1,3.58
129,Muscovite,K:1:Al:3:Si:3:O:12:H:2,2.8
130,NaBr,Na:1:Br:1,3.203
131,NaCl,Na:1:Cl:1,2.165
132,NaI,Na:1:I:1,3.667
133,PE,C:1:H:2,0.95
134,PEEK,C:19:O:3:H:12,1.3
135,PotassiumCarbonate,K:2:C:1:O:3,2.428
136,PotassiumMonoxide,K:2:O:1,2.32
137,Pyrite,Fe:1:S:2,4.93
138,Quartz,Si:1:O:2,2.65
139,Siderite,Fe:1:C:1:O:3,3.96
140,SS,Fe:1:Cr:1,7.53
141,Talc,Mg:3:Si:4:O:12:H:2,2.75
142,Water,H:2:O:1,1
143,BGO,BI:4:GE:3:O:12,7.13
144,Gadox,GD:2:S:1:O:2,7.32
145,Cadmium Tungstate,CD:1:W:1:O:4,7.9
150,SheppLoganSkull,CA:9:P:6:O:8:H:2,0.4
151,SheppLoganSkull2,CA:9:P:6:O:8:H:2,2
152,SheppLoganDark,H:2:O:1,1
153,SheppLoganOverlap,H:2:O:1,1.01
154,SheppLoganMedium,H:2:O:1,1.02
155,SheppLoganLight,H:2:O:1,1.03
